category,mutcd_code,occurrence,output_relpath,role,role_index,row_index,source_type,source_docx,source_partname,source_rid,source_web_url,bg_removed,width,height,sha256,fallback_relpath,fallback_sha256,source_web_provider,max_dim
WARNING_SIGNS,W15-1,1,WARNING_SIGNS/W15-1.png,image,1,716,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image537.png,rId743,,True,230,230,7f862979537fcb1837540e972ef901bc97af7ca9a33fd7c2d49b6ce75aaf3095,,,,230
WARNING_SIGNS,W16-1P,1,WARNING_SIGNS/W16-1P.png,image,1,717,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image535.png,rId744,,True,230,155,141e68f7789e6107dd3cbb474069ab1cb9732b9051bf8a471e81890835c5392c,,,,230
WARNING_SIGNS,W16-1aP,1,WARNING_SIGNS/W16-1aP.png,image,1,718,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image545.png,rId745,,True,230,155,9639e5b4a4768a5977d6246f800a4039551d25b1ea041bcd096edfca5715197f,,,,230
WARNING_SIGNS,W16-2P,1,WARNING_SIGNS/W16-2P.png,image,1,719,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image541.png,rId746,,True,230,184,4f030f74c14953e7aa13273ac4416498755e555f3e1953da3f03cba4323ae477,,,,230
WARNING_SIGNS,W16-2aP,1,WARNING_SIGNS/W16-2aP.png,image,1,720,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image529.png,rId747,,True,230,115,dad75f9363abcccd3a7b658e3309705ffe59f2629ad369b72d648b556c80603d,,,,230
WARNING_SIGNS,W16-3P,1,WARNING_SIGNS/W16-3P.png,image,1,721,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image526.png,rId748,,True,230,184,ac97a3e53f2fe1a71e955ea7879990009f5f4ec7b6818febe62f611124e2d36f,,,,230
WARNING_SIGNS,W16-3aP,1,WARNING_SIGNS/W16-3aP.png,image,1,722,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image533.png,rId749,,True,230,115,07886af8425357cd8a7df1ad8fced0be4b1498e60144a8d9734e8bd0ef107115,,,,230
WARNING_SIGNS,W16-4P,1,WARNING_SIGNS/W16-4P.png,image,1,723,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image530.png,rId750,,True,230,184,84ef955233fff2281338966bc6dee94d29f4287d0e40d77a0fd53d5dfde80cb7,,,,230
WARNING_SIGNS,W16-5PR,1,WARNING_SIGNS/W16-5PR.png,image,1,724,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1146.png,rId751,,True,230,174,b2160fa7a56d8d8acc6ea5608cd1933cf5025c305bfd1c37bae73b024244b76e,,,,230
WARNING_SIGNS,W16-5PL,1,WARNING_SIGNS/W16-5PL.png,image,1,725,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1153.png,rId752,,True,230,172,2ae862455da14a6335ae21520fac0a6ee0d088fa2d05a2ca78318ba21f957291,,,,230
WARNING_SIGNS,W16-6PR,1,WARNING_SIGNS/W16-6PR.png,image,1,726,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1154.png,rId753,,True,230,172,bc381ecf05ff98a5bdff1e11e816fbe7233b61ce56534808ec77ead4e39e101d,,,,230
WARNING_SIGNS,W16-6PL,1,WARNING_SIGNS/W16-6PL.png,image,1,727,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1140.png,rId754,,True,230,172,334e4db09a6463e2cff9a8b9d41963ec783622733db3dd64d8072e9e77fee593,,,,230
WARNING_SIGNS,W16-7PR,1,WARNING_SIGNS/W16-7PR.png,image,1,728,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1138.png,rId755,,True,230,118,626bb99b0e99b32fb91f848dc036fc35ed8b1afb5f038e2446ef752b47265fd3,,,,230
WARNING_SIGNS,W16-7PL,1,WARNING_SIGNS/W16-7PL.png,image,1,729,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1144.png,rId756,,True,230,118,c2dd58fbda4359db81e1a7831de14325164f4f5c5804add3647ba6ad5bee7c9d,,,,230
WARNING_SIGNS,W16-7aP,1,WARNING_SIGNS/W16-7aP.png,image,1,730,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1143.png,rId757,,True,230,163,67393a5ffd652fdef63b0b88663e08c9279f04062857ff93d6d2d79fa88a4e3c,,,,230
WARNING_SIGNS,W16-8P,1,WARNING_SIGNS/W16-8P.png,image,1,731,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1131.png,rId758,,True,230,107,cfdcb6573e5bb423f1f2a6a24c2a3d8e4789e6e5b69168767b0c27fd7a6d3b78,,,,230
WARNING_SIGNS,W16-8aP,1,WARNING_SIGNS/W16-8aP.png,image,1,732,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1127.png,rId759,,True,230,95,238d932c27277dc9692a56f85cecad8ef1b9d44d962e9598412e9982eea82b91,,,,230
WARNING_SIGNS,W16-9P,1,WARNING_SIGNS/W16-9P.png,image,1,733,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1135.png,rId760,,True,230,115,9afd386efedddd2235bc63534a22b474180d0d2612a95b68a8e8cad5ea545bd1,,,,230
WARNING_SIGNS,W16-10P,1,WARNING_SIGNS/W16-10P.png,image,1,734,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1179.png,rId761,,True,230,115,194d33feaca080a133862e43617006f68fbefa274b61f9e34b57ac040a1ca640,,,,230
WARNING_SIGNS,W16-10aP,1,WARNING_SIGNS/W16-10aP.png,image,1,735,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1174.png,rId762,,True,230,171,45c3c689def6a17fa3b18c33c831563f02752649fee0931de6642fe7049431e1,,,,230
WARNING_SIGNS,W16-11P,1,WARNING_SIGNS/W16-11P.png,image,1,736,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1186.png,rId763,,True,230,118,189fe3103188a48172f69eda533e59f237587ab0998246f6d0077c703e418839,,,,230
WARNING_SIGNS,W16-12P,1,WARNING_SIGNS/W16-12P.png,image,1,737,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1181.png,rId764,,True,230,171,57c466f03859e6e3276379f4679ee63a3dab761f7725c1d1d44f46571d653b20,,,,230
WARNING_SIGNS,W16-12aP,1,WARNING_SIGNS/W16-12aP.png,image,1,738,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1171.png,rId765,,True,230,115,c8ca91fa1d2aeb5bd344fad8521f353a60625e682307d044cecfb633da3d4ec2,,,,230
WARNING_SIGNS,W16-13P,1,WARNING_SIGNS/W16-13P.png,image,1,739,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1166.png,rId766,,True,230,171,5f0a309bed843b76716deed2400e82c871049f6a76f3ec28d643d301b0f82939,,,,230
WARNING_SIGNS,W16-15P,1,WARNING_SIGNS/W16-15P.png,image,1,740,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1175.png,rId767,,True,230,117,fc93659f0ddc3dbd69a24bd6b8c6df40c9a28fc6cb091f224a76e2f388c37dc8,,,,230
WARNING_SIGNS,W16-16P,1,WARNING_SIGNS/W16-16P.png,image,1,741,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1172.png,rId768,,True,230,30,c123d697aa28200d48ba09cf579cbb27ea85403bb20a0132f69d9578ba615d64,,,,230
WARNING_SIGNS,W16-16aP,1,WARNING_SIGNS/W16-16aP.png,image,1,742,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1159.png,rId769,,True,230,95,356b2df14496185daadf6653f56a76025cf3025e10330692ce0ed9a7789ee9ee,,,,230
WARNING_SIGNS,W16-17P,1,WARNING_SIGNS/W16-17P.png,image,1,743,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1157.png,rId770,,True,230,115,659eb751629329e5cfe3663197a5f7057497d9fdd99f8edec034f75e27f2ad59,,,,230
WARNING_SIGNS,W16-18P,1,WARNING_SIGNS/W16-18P.png,image,1,744,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1096.png,rId771,,True,230,117,8ec923c319a8c967cd2b07c5f8dc3eff44e6a019b858460ff4a9cf0ed8d041a3,,,,230
WARNING_SIGNS,W16-19P,1,WARNING_SIGNS/W16-19P.png,image,1,745,docx_embedded,Element Catalogue_ Traffic Signs (First version).docx,/word/media/image1090.png,rId772,,True,230,171,54ad21c1862e0938be9de323509ab404c4a8d2410b89cd54a5521814346329fc,,,,230
